id,rate,score,title
sfAIpzEC8ywpy36YhzikmQ,4.5,98,undefined
hNze7c3mWvEnAXYT_geV9Q,4,85,undefined
MXKWFQHoC0SXy9UI-Djn7g,4,94,american
KJAFlcgXnGTww96Z0zDFdA,3,87,american
HhAmBwTYq_MXbOLzypRQjQ,3.5,98,american
gBRjRvIfA4fIo6pNebTjuA,4,70,medi
oic-xcRpi-yXG3KZ4go0mg,3.5,94,medi
hmGLNK_bVJ5t_NWX3T_fcw,3,96,medi
XmJvy41_tJLOS8WCAVQB5g,4,88,american
bJNVd1HqilRD3F9RO3t20g,4,82,american
v5zt16ojbtRIU0I7VzqqVA,4,83,italian
qkHlhvv6DrCkvY54ogcPiA,4.5,94,italian
O1baF6z-vMnyaULoGFKT6g,3,92,italian
iIY6k6NnEeUmdmqkn9zJJw,3.5,86,italian
mNFQuOA_hhrqmJeHg-AzKA,4,94,french
DeGdhZKXoTnyyFc8GC2BHg,3,96,american
IRD_9JUjR-06zztisuTdAA,4,90,japanese
6Ki5PvDCebTkCRkGEXD1qw,3,90,japanese
SOZuFpNqQTD5XprPD5XeVw,4,86,japanese
5-B4VF38j-cba9rFtzcmFw,3.5,81,italian
4opwrzUv_FnwFBTkBFG-zQ,3.5,92,italian
po_SEkDkaDLXkBNY4H6Qaw,3.5,79,italian
mxklgb9anKRXLhHMWN2qcw,4,90,italian
IxGgjF0US9_-g13XB1BsKg,3.5,84,italian
ApFJcURXYEmqJHiavMjUUw,2.5,94,italian
fZ3sKWbz6REMdadtQ0ZydQ,3,88,italian
IoNI0QWbinqdphW6EnATog,4,92,italian
F9XZP_O1niMoRUgkj3AUGA,4,88,american
U53_v_AVOdxJBuH1uLQKjg,4,90,american
rVEilABR3QhuYL1qc5R9gA,3.5,88,chinese
ydRU8jEKxt0X5PQdP4VdRQ,4,82,chinese
PhRj3okiYEWNLnlCihwOHA,4,86,chinese
YH4PSO3BTLvI5PaDGJym6Q,3.5,92,chinese
GNc57dU-_JHP-GaHMktqiw,3.5,100,latin
pLZFRsn8HjVzcITHqa8Yfw,3.5,78,latin
Re5RjXCeNHf6yruPvArDdA,3,83,chinese
RHdu4310HUrJbCCw78dmsQ,3.5,98,chinese
Pwrgh3jVDJyY_6aLQ_5C-g,4,100,chinese
TnknJjVTPTOj3yp9-KEFSA,3,92,chinese
mf8cgiuuHtO8aDQf1QUXWg,4,98,italian
fb49tiO6Ax-D3E-mKJrH_w,3.5,83,indian
j1yOqKczaI4czwycWDcspw,4,98,french
