id,rate,score,title,neighborhood,price
sfAIpzEC8ywpy36YhzikmQ,4.5,98,undefined,Russian Hill,$
hNze7c3mWvEnAXYT_geV9Q,4,85,undefined,Bernal Heights,$
MXKWFQHoC0SXy9UI-Djn7g,4,94,american,Inner Sunset,$
KJAFlcgXnGTww96Z0zDFdA,3,87,american,Japantown,undefined
HhAmBwTYq_MXbOLzypRQjQ,3.5,98,american,Noe Valley,$
gBRjRvIfA4fIo6pNebTjuA,4,70,medi,Financial District/South Beach,$
oic-xcRpi-yXG3KZ4go0mg,3.5,94,medi,North Beach,$
hmGLNK_bVJ5t_NWX3T_fcw,3,96,medi,Sunset/Parkside,$
XmJvy41_tJLOS8WCAVQB5g,4,88,american,Mission,$
bJNVd1HqilRD3F9RO3t20g,4,82,american,Potrero Hill,$
v5zt16ojbtRIU0I7VzqqVA,4,83,italian,Bernal Heights,$$
qkHlhvv6DrCkvY54ogcPiA,4.5,94,italian,North Beach,$
O1baF6z-vMnyaULoGFKT6g,3,92,italian,Nob Hill,$
iIY6k6NnEeUmdmqkn9zJJw,3.5,86,italian,Nob Hill,$$
mNFQuOA_hhrqmJeHg-AzKA,4,94,french,Nob Hill,$$$
DeGdhZKXoTnyyFc8GC2BHg,3,96,american,Financial District/South Beach,$$$
IRD_9JUjR-06zztisuTdAA,4,90,japanese,Financial District/South Beach,$$
6Ki5PvDCebTkCRkGEXD1qw,3,90,japanese,North Beach,$$
SOZuFpNqQTD5XprPD5XeVw,4,86,japanese,Financial District/South Beach,$$
5-B4VF38j-cba9rFtzcmFw,3.5,81,italian,Mission,$
4opwrzUv_FnwFBTkBFG-zQ,3.5,92,italian,Haight Ashbury,$
po_SEkDkaDLXkBNY4H6Qaw,3.5,79,italian,Haight Ashbury,$
mxklgb9anKRXLhHMWN2qcw,4,90,italian,Mission,$$
IxGgjF0US9_-g13XB1BsKg,3.5,84,italian,Bayview Hunters Point,$$
ApFJcURXYEmqJHiavMjUUw,2.5,94,italian,Bayview Hunters Point,$
fZ3sKWbz6REMdadtQ0ZydQ,3,88,italian,Potrero Hill,$$
IoNI0QWbinqdphW6EnATog,4,92,italian,Bernal Heights,$
F9XZP_O1niMoRUgkj3AUGA,4,88,american,Financial District/South Beach,$$
U53_v_AVOdxJBuH1uLQKjg,4,90,american,Chinatown,$$
rVEilABR3QhuYL1qc5R9gA,3.5,88,chinese,Sunset/Parkside,$
ydRU8jEKxt0X5PQdP4VdRQ,4,82,chinese,Outer Richmond,$$
PhRj3okiYEWNLnlCihwOHA,4,86,chinese,Inner Richmond,$
YH4PSO3BTLvI5PaDGJym6Q,3.5,92,chinese,Outer Mission,$
GNc57dU-_JHP-GaHMktqiw,3.5,100,latin,Marina,$
pLZFRsn8HjVzcITHqa8Yfw,3.5,78,latin,Japantown,$$
Re5RjXCeNHf6yruPvArDdA,3,83,chinese,Marina,$
RHdu4310HUrJbCCw78dmsQ,3.5,98,chinese,Financial District/South Beach,$
Pwrgh3jVDJyY_6aLQ_5C-g,4,100,chinese,Marina,$
TnknJjVTPTOj3yp9-KEFSA,3,92,chinese,Nob Hill,$
mf8cgiuuHtO8aDQf1QUXWg,4,98,italian,Marina,$$
fb49tiO6Ax-D3E-mKJrH_w,3.5,83,indian,Tenderloin,$
j1yOqKczaI4czwycWDcspw,4,98,french,Marina,$$
j8Ih_-L9adYlmkh1nC-GCA,3,92,japanese,Nob Hill,$$
Nsi7vy0kCVwlmvn4fgAIOA,4,96,thai,Marina,$$
f134JY-da1-ciO-jND1wfA,3,86,thai,Pacific Heights,$
Bsh2ZpvfraCwDXEKuqP9KQ,4,96,american,Tenderloin,$
z6DlLVZXBmLz4wKWLQBAGA,4,98,american,Marina,$
I2QjNedfsZe3rKssrSyoIg,3.5,77,american,Tenderloin,$
f6G4fFuwx_hQOMxvZPmqjw,4,94,japanese,Western Addition,$$
T1DIDe7MdSdPOpPT_VJzpw,3.5,81,japanese,Pacific Heights,$$
L3_71hwGHkr38nZ2daksuA,4.5,81,japanese,Western Addition,$
dl0jLh1yiPIwe2dtknqmKQ,3.5,90,latin,Inner Sunset,$
#NAME?,4,77,chinese,Portola,$
TYcPZVwTeLDXL27FTu3nhg,3,84,latin,Bernal Heights,$
qZR0MwhFxhvWcFYNtvcO6g,3.5,96,latin,Financial District/South Beach,$
g60n9gcnr7cco5dh-j2RbA,4,76,chinese,Excelsior,$
pHOX2i9yH9ezdhbxevsF7Q,3.5,88,chinese,South of Market,$$
_4xgvSsDuGgsyfSOVrneag,3,78,chinese,Financial District/South Beach,$
Iq0137dlAydEXdKJorWJxw,4,78,american,North Beach,$
p4noc5fB5D3l54uik05XNA,3.5,94,italian,Chinatown,$$
xLBkrh4Aie9iPCobGfFzog,4.5,98,italian,Financial District/South Beach,$
eIp-wW02p_jcrZ2atZGDRA,3.5,87,italian,North Beach,$$
UjeOgcv831QTChTP04-Uag,4,92,italian,North Beach,$$
mj025BcDs8nsvOZvb8xvbA,4,88,italian,Chinatown,$
tzQaJ4-X7wZocpYBKKCRhQ,3.5,87,italian,North Beach,$$$
oyPIyq3JUzvyzE-csu75Ug,3.5,84,italian,Chinatown,$
ZiF9L8JML7kwfOi989OaTQ,3.5,94,american,Chinatown,$$
JBo-D2iAbMWwJqUnkGfTkw,3.5,96,italian,Chinatown,$$
zWYyO-Y5eO1C8A2kW1ZhVQ,3.5,88,chinese,Chinatown,$$
DxgBEcbyikLXxBKJY-dJiw,2.5,98,chinese,North Beach,$$$
U768gBDU8XM3_cr-yJxwvg,4,88,american,Chinatown,$
kgKMZc97EdDaq77dtTqqNQ,4,87,italian,Chinatown,$$
uzqUJiCHUqV2c3PnvSsqeQ,4,90,italian,Chinatown,$
66khyY7kxNKiW6x7anZj9g,4.5,92,italian,Chinatown,$$
Ws6FGlrk0yxBT7GFpik57g,4,87,italian,North Beach,$$
iFZuhhzJCfq5qQBOV5LWKw,4,80,american,North Beach,$$
OpBTLNaGnGcn8DRsLcEfQQ,4,96,american,North Beach,$$
Ibz2bWXEU2kLjVYBtB4BPg,4,91,italian,North Beach,$
MWaeG9XhJdFzbcrSrpF6mQ,4,93,italian,North Beach,$$
ZoZjbOYR-apY8XvommlNUA,4.5,92,italian,North Beach,$$$
I8q7lH2GAMQmQydZaEU1DA,4,75,chinese,Chinatown,$
BB0YnEFVeYsHwZ7eTzrjeA,3,92,italian,Financial District/South Beach,$$
AOCt9skWfZdpYkatiIfU3Q,2.5,90,italian,Excelsior,$
IXgziwhZ-ClzW6mGLuBpsw,4,86,viet,West of Twin Peaks,$
B0lqvrhX9BNPMggTFmFj8g,3.5,87,viet,Sunset/Parkside,$$
CJvPLe-pAMTxg0De3ymAAQ,3.5,88,viet,Sunset/Parkside,$
Y0PoMMWomp9DpG8cchUdcQ,5,91,viet,Financial District/South Beach,undefined
rgQdRfTrtK--HIoiVjkmSQ,3.5,75,chinese,Inner Richmond,$
cYRTXu7jknjwW7w0mEUpmA,3.5,90,chinese,Inner Richmond,$
pYk2UZ_AUGWO4s8YFepRHQ,4,88,thai,Sunset/Parkside,$$
9-CeNEsmzKh8zrLNU0Ujbw,4,90,thai,Mission,$
p8VC6-anSWeT5XLtDO7u4Q,3.5,80,thai,Inner Richmond,$
bHQzZz8E6PMs5WWXoaVWlQ,4,74,thai,Inner Richmond,$
cAaJQI_clNuEl5PRmrabGA,4,76,latin,Outer Richmond,$
cV3nOiQbq0o9plia9OSXVQ,3.5,81,viet,Sunset/Parkside,$
LLESEaHAcPNreW9TfR4d9A,4,76,viet,Inner Richmond,$$
8Jos9nqlts6DX6o2zKDAzA,4,98,latin,Mission,$$
g0Ul4hv8EhjZTwo70Ze5Bg,3.5,100,viet,Financial District/South Beach,$
#NAME?,3.5,94,latin,Bernal Heights,$
#NAME?,4,88,chinese,West of Twin Peaks,$$
uCeCkdHHeaJnU4hGAe2sJQ,3.5,88,latin,Sunset/Parkside,$
syIHvIqM4ON4FkK_lHcvGA,3.5,85,chinese,Sunset/Parkside,$
8ed5eduh4zdLGn_y4cCLWA,3.5,89,japanese,Inner Sunset,$
xusFBl0gw2KBsLFV4Rkjdw,4,86,chinese,Outer Mission,$
sI1-UxoWaZz3CRS8i_h-jQ,3.5,90,chinese,Oceanview/Merced/Ingleside,$
jlDakFozhgaiuYdlnqGVvQ,4,88,chinese,Pacific Heights,undefined
V6JS0EaR0Gq_SSDllaOqKw,4,87,chinese,Western Addition,$
CS6NaMbTlzD-9yc3DBBrKw,4,90,latin,Pacific Heights,$
eI0DpD2Xx8hFlk7eAdFCqQ,4,94,latin,Nob Hill,$$
FTir7qcSlmO3il2rSi0urQ,4,94,latin,Japantown,$
0PLv5h5eRTG6fuWLpUmf4A,4,89,latin,Marina,$$
bgoSfVaZFXDthHLbWxyeQw,4,86,latin,Marina,$
c1uPQc6ylqB4Pj-KYB8cpw,4,92,latin,Marina,$
euH1rpE4ykW88YgSsrKQqw,3.5,96,latin,Tenderloin,$
lw38MxB5AReAzXQVRrOfXg,3.5,66,viet,Tenderloin,$
r-NSN2mrefVCxqkquOWgaA,4.5,87,viet,Tenderloin,$
zP4uciQqdVGZVf72HttgJA,3,72,chinese,Pacific Heights,$
QHeiQgLRI1aktqigtx3Muw,3.5,94,italian,West of Twin Peaks,$$
pvD64-V2OjBUFlFs4BQ9xA,4,98,american,South of Market,$$
oi-jTQzuKRG_7q3u70LHDg,3.5,92,japanese,Potrero Hill,$$
BqYpq6v923t4Be5Hwy0zfA,3.5,96,japanese,Mission Bay,undefined
