id,rate,score,title,neighborhood,price,zip
sfAIpzEC8ywpy36YhzikmQ,4.5,98,undefined,Russian Hill,$,94133
hNze7c3mWvEnAXYT_geV9Q,4,85,undefined,Bernal Heights,$,94110
MXKWFQHoC0SXy9UI-Djn7g,4,94,american,Inner Sunset,$,94122
KJAFlcgXnGTww96Z0zDFdA,3,87,american,Japantown,undefined,94115
HhAmBwTYq_MXbOLzypRQjQ,3.5,98,american,Noe Valley,$,94131
gBRjRvIfA4fIo6pNebTjuA,4,70,medi,Financial District/South Beach,$,94111
oic-xcRpi-yXG3KZ4go0mg,3.5,94,medi,North Beach,$,94133
hmGLNK_bVJ5t_NWX3T_fcw,3,96,medi,Sunset/Parkside,$,94122
XmJvy41_tJLOS8WCAVQB5g,4,88,american,Mission,$,94110
bJNVd1HqilRD3F9RO3t20g,4,82,american,Potrero Hill,$,94107
v5zt16ojbtRIU0I7VzqqVA,4,83,italian,Bernal Heights,$$,94110
qkHlhvv6DrCkvY54ogcPiA,4.5,94,italian,North Beach,$,94133
O1baF6z-vMnyaULoGFKT6g,3,92,italian,Nob Hill,$,94108
iIY6k6NnEeUmdmqkn9zJJw,3.5,86,italian,Nob Hill,$$,94102
mNFQuOA_hhrqmJeHg-AzKA,4,94,french,Nob Hill,$$$,94108
DeGdhZKXoTnyyFc8GC2BHg,3,96,american,Financial District/South Beach,$$$,94111
IRD_9JUjR-06zztisuTdAA,4,90,japanese,Financial District/South Beach,$$,94108
6Ki5PvDCebTkCRkGEXD1qw,3,90,japanese,North Beach,$$,94133
SOZuFpNqQTD5XprPD5XeVw,4,86,japanese,Financial District/South Beach,$$,94104
5-B4VF38j-cba9rFtzcmFw,3.5,81,italian,Mission,$,94103
4opwrzUv_FnwFBTkBFG-zQ,3.5,92,italian,Haight Ashbury,$,94117
po_SEkDkaDLXkBNY4H6Qaw,3.5,79,italian,Haight Ashbury,$,94117
mxklgb9anKRXLhHMWN2qcw,4,90,italian,Mission,$$,94110
IxGgjF0US9_-g13XB1BsKg,3.5,84,italian,Bayview Hunters Point,$$,94134
ApFJcURXYEmqJHiavMjUUw,2.5,94,italian,Bayview Hunters Point,$,94124
fZ3sKWbz6REMdadtQ0ZydQ,3,88,italian,Potrero Hill,$$,94107
IoNI0QWbinqdphW6EnATog,4,92,italian,Bernal Heights,$,94110
F9XZP_O1niMoRUgkj3AUGA,4,88,american,Financial District/South Beach,$$,94111
U53_v_AVOdxJBuH1uLQKjg,4,90,american,Chinatown,$$,94133
rVEilABR3QhuYL1qc5R9gA,3.5,88,chinese,Sunset/Parkside,$,94116
ydRU8jEKxt0X5PQdP4VdRQ,4,82,chinese,Outer Richmond,$$,94121
PhRj3okiYEWNLnlCihwOHA,4,86,chinese,Inner Richmond,$,94118
YH4PSO3BTLvI5PaDGJym6Q,3.5,92,chinese,Outer Mission,$,94112
GNc57dU-_JHP-GaHMktqiw,3.5,100,latin,Marina,$,94123
pLZFRsn8HjVzcITHqa8Yfw,3.5,78,latin,Japantown,$$,94115
Re5RjXCeNHf6yruPvArDdA,3,83,chinese,Marina,$,94123
RHdu4310HUrJbCCw78dmsQ,3.5,98,chinese,Financial District/South Beach,$,94102
Pwrgh3jVDJyY_6aLQ_5C-g,4,100,chinese,Marina,$,94123
TnknJjVTPTOj3yp9-KEFSA,3,92,chinese,Nob Hill,$,94109
mf8cgiuuHtO8aDQf1QUXWg,4,98,italian,Marina,$$,94123
fb49tiO6Ax-D3E-mKJrH_w,3.5,83,indian,Tenderloin,$,94102
j1yOqKczaI4czwycWDcspw,4,98,french,Marina,$$,94123
j8Ih_-L9adYlmkh1nC-GCA,3,92,japanese,Nob Hill,$$,94109
Nsi7vy0kCVwlmvn4fgAIOA,4,96,thai,Marina,$$,94123
f134JY-da1-ciO-jND1wfA,3,86,thai,Pacific Heights,$,94109
Bsh2ZpvfraCwDXEKuqP9KQ,4,96,american,Tenderloin,$,94109
z6DlLVZXBmLz4wKWLQBAGA,4,98,american,Marina,$,94109
I2QjNedfsZe3rKssrSyoIg,3.5,77,american,Tenderloin,$,94109
f6G4fFuwx_hQOMxvZPmqjw,4,94,japanese,Western Addition,$$,94109
T1DIDe7MdSdPOpPT_VJzpw,3.5,81,japanese,Pacific Heights,$$,94115
L3_71hwGHkr38nZ2daksuA,4.5,81,japanese,Western Addition,$,94115
dl0jLh1yiPIwe2dtknqmKQ,3.5,90,latin,Inner Sunset,$,94122
#NAME?,4,77,chinese,Portola,$,94134
TYcPZVwTeLDXL27FTu3nhg,3,84,latin,Bernal Heights,$,94110
qZR0MwhFxhvWcFYNtvcO6g,3.5,96,latin,Financial District/South Beach,$,94105
g60n9gcnr7cco5dh-j2RbA,4,76,chinese,Excelsior,$,94112
pHOX2i9yH9ezdhbxevsF7Q,3.5,88,chinese,South of Market,$$,94103
_4xgvSsDuGgsyfSOVrneag,3,78,chinese,Financial District/South Beach,$,94107
Iq0137dlAydEXdKJorWJxw,4,78,american,North Beach,$,94133
p4noc5fB5D3l54uik05XNA,3.5,94,italian,Chinatown,$$,94133
xLBkrh4Aie9iPCobGfFzog,4.5,98,italian,Financial District/South Beach,$,94104
eIp-wW02p_jcrZ2atZGDRA,3.5,87,italian,North Beach,$$,94133
UjeOgcv831QTChTP04-Uag,4,92,italian,North Beach,$$,94133
mj025BcDs8nsvOZvb8xvbA,4,88,italian,Chinatown,$,94133
tzQaJ4-X7wZocpYBKKCRhQ,3.5,87,italian,North Beach,$$$,94133
oyPIyq3JUzvyzE-csu75Ug,3.5,84,italian,Chinatown,$,94133
ZiF9L8JML7kwfOi989OaTQ,3.5,94,american,Chinatown,$$,94133
JBo-D2iAbMWwJqUnkGfTkw,3.5,96,italian,Chinatown,$$,94133
zWYyO-Y5eO1C8A2kW1ZhVQ,3.5,88,chinese,Chinatown,$$,94133
DxgBEcbyikLXxBKJY-dJiw,2.5,98,chinese,North Beach,$$$,94133
U768gBDU8XM3_cr-yJxwvg,4,88,american,Chinatown,$,94133
kgKMZc97EdDaq77dtTqqNQ,4,87,italian,Chinatown,$$,94133
uzqUJiCHUqV2c3PnvSsqeQ,4,90,italian,Chinatown,$,94133
66khyY7kxNKiW6x7anZj9g,4.5,92,italian,Chinatown,$$,94133
Ws6FGlrk0yxBT7GFpik57g,4,87,italian,North Beach,$$,94133
iFZuhhzJCfq5qQBOV5LWKw,4,80,american,North Beach,$$,94133
OpBTLNaGnGcn8DRsLcEfQQ,4,96,american,North Beach,$$,94133
Ibz2bWXEU2kLjVYBtB4BPg,4,91,italian,North Beach,$,94133
MWaeG9XhJdFzbcrSrpF6mQ,4,93,italian,North Beach,$$,94133
ZoZjbOYR-apY8XvommlNUA,4.5,92,italian,North Beach,$$$,94133
I8q7lH2GAMQmQydZaEU1DA,4,75,chinese,Chinatown,$,94133
BB0YnEFVeYsHwZ7eTzrjeA,3,92,italian,Financial District/South Beach,$$,94108
AOCt9skWfZdpYkatiIfU3Q,2.5,90,italian,Excelsior,$,94112
IXgziwhZ-ClzW6mGLuBpsw,4,86,viet,West of Twin Peaks,$,94131
B0lqvrhX9BNPMggTFmFj8g,3.5,87,viet,Sunset/Parkside,$$,94122
CJvPLe-pAMTxg0De3ymAAQ,3.5,88,viet,Sunset/Parkside,$,94122
Y0PoMMWomp9DpG8cchUdcQ,5,91,viet,Financial District/South Beach,undefined,94105
rgQdRfTrtK--HIoiVjkmSQ,3.5,75,chinese,Inner Richmond,$,94118
cYRTXu7jknjwW7w0mEUpmA,3.5,90,chinese,Inner Richmond,$,94118
pYk2UZ_AUGWO4s8YFepRHQ,4,88,thai,Sunset/Parkside,$$,94122
9-CeNEsmzKh8zrLNU0Ujbw,4,90,thai,Mission,$,94110
p8VC6-anSWeT5XLtDO7u4Q,3.5,80,thai,Inner Richmond,$,94118
bHQzZz8E6PMs5WWXoaVWlQ,4,74,thai,Inner Richmond,$,94118
cAaJQI_clNuEl5PRmrabGA,4,76,latin,Outer Richmond,$,94121
cV3nOiQbq0o9plia9OSXVQ,3.5,81,viet,Sunset/Parkside,$,94122
LLESEaHAcPNreW9TfR4d9A,4,76,viet,Inner Richmond,$$,94118
8Jos9nqlts6DX6o2zKDAzA,4,98,latin,Mission,$$,94103
g0Ul4hv8EhjZTwo70Ze5Bg,3.5,100,viet,Financial District/South Beach,$,94105
#NAME?,3.5,94,latin,Bernal Heights,$,94110
#NAME?,4,88,chinese,West of Twin Peaks,$$,94127
uCeCkdHHeaJnU4hGAe2sJQ,3.5,88,latin,Sunset/Parkside,$,94116
syIHvIqM4ON4FkK_lHcvGA,3.5,85,chinese,Sunset/Parkside,$,94122
8ed5eduh4zdLGn_y4cCLWA,3.5,89,japanese,Inner Sunset,$,94122
xusFBl0gw2KBsLFV4Rkjdw,4,86,chinese,Outer Mission,$,94112
sI1-UxoWaZz3CRS8i_h-jQ,3.5,90,chinese,Oceanview/Merced/Ingleside,$,94112
jlDakFozhgaiuYdlnqGVvQ,4,88,chinese,Pacific Heights,undefined,94115
V6JS0EaR0Gq_SSDllaOqKw,4,87,chinese,Western Addition,$,94117
CS6NaMbTlzD-9yc3DBBrKw,4,90,latin,Pacific Heights,$,94115
eI0DpD2Xx8hFlk7eAdFCqQ,4,94,latin,Nob Hill,$$,94109
FTir7qcSlmO3il2rSi0urQ,4,94,latin,Japantown,$,94115
0PLv5h5eRTG6fuWLpUmf4A,4,89,latin,Marina,$$,94123
bgoSfVaZFXDthHLbWxyeQw,4,86,latin,Marina,$,94123
c1uPQc6ylqB4Pj-KYB8cpw,4,92,latin,Marina,$,94123
euH1rpE4ykW88YgSsrKQqw,3.5,96,latin,Tenderloin,$,94102
lw38MxB5AReAzXQVRrOfXg,3.5,66,viet,Tenderloin,$,94109
r-NSN2mrefVCxqkquOWgaA,4.5,87,viet,Tenderloin,$,94102
zP4uciQqdVGZVf72HttgJA,3,72,chinese,Pacific Heights,$,94115
QHeiQgLRI1aktqigtx3Muw,3.5,94,italian,West of Twin Peaks,$$,94127
pvD64-V2OjBUFlFs4BQ9xA,4,98,american,South of Market,$$,94103
oi-jTQzuKRG_7q3u70LHDg,3.5,92,japanese,Potrero Hill,$$,94107
BqYpq6v923t4Be5Hwy0zfA,3.5,96,japanese,Mission Bay,undefined,94107
eG5VcB6XuSp-C1mAggD_Cg,4,86,french,Financial District/South Beach,$$$,94111
DcYKlWYozXovDDGY1VZk0Q,2.5,96,french,North Beach,$$,94133
TkI_23ROVAsSDLg6ovzdYw,3.5,94,japanese,Nob Hill,$$,94109
xij-evVK6YrU5b1_TKAqsw,3.5,98,japanese,North Beach,$$,94133
Xnm-vHeO_T3C7rfVyRMXig,4,94,japanese,Financial District/South Beach,$,94107
KJ5SsBC-OmwFT1iCMh-Rsg,4,85,latin,Bernal Heights,$,94110
NLc5sKgqHcH95qMoCGikJg,4,71,latin,Excelsior,$,94112
sasR19uB_5lsk5MT3wgQMQ,4,90,latin,Outer Richmond,$$,94121
2EGucgCJbPhkHjPTnZCzrg,4,85,latin,Excelsior,$,94112
5q4iWQKGIcFl6KfyWEI7-A,4,85,latin,Excelsior,$,94112
0Yw-OWhZAU8BI852cx21ug,4,86,chinese,Chinatown,$,94133
FmGF1B-Rpsjq1f5b56qMwg,4.5,87,chinese,Chinatown,$$,94133
JJnkXwf96vh1Uu7XZWZZAg,4,98,french,North Beach,$$$,94133
PTFxtXS47ZVRCdZIrEWvGw,4.5,92,italian,North Beach,$,94133
sQaHwhP1s9wVOencbEGrkQ,4,83,chinese,Chinatown,$,94133
YqvoyaNvtoC8N5dA8pD2JA,4,92,italian,Mission,$$$,94110
7qSq-m4LRu3PAfroD-LKJg,3.5,85,latin,Nob Hill,$,94109
Fo5Wscbb9rwcLuaO-sc2zQ,4,88,chinese,Chinatown,$,94133
C0whbbQhUMBv8X-Mmtqrcg,3.5,92,chinese,Chinatown,$$,94133
BNclpAIcHH8v0zC2w5jdXQ,4,96,chinese,Financial District/South Beach,$,94111
mk2WW5bA-0WfQP1Uo17_Sg,3.5,87,viet,Financial District/South Beach,$,94104
AQviX2W0XXJqYtc73KaNxQ,4,94,viet,Castro/Upper Market,$,94114
UFX2mEq82sF8kpuSUkAZ3g,3.5,91,viet,Financial District/South Beach,$$,94108
TEvPUNNIRNdiLLKYcKTFVg,4,96,viet,Financial District/South Beach,$,94108
tHJQH4je6TrwJxotjHtP_g,4,94,viet,Financial District/South Beach,$,94102
EKjWDdbDE1qCk8HECVxD8A,5,96,viet,Financial District/South Beach,undefined,94108
O-UenHinrjyX1poNa4Cafw,3.5,98,viet,Mission,$$,94110
I2B05NZUgigDU24PtTvlwQ,4,92,chinese,Bayview Hunters Point,$,94124
Nvc1XZVJZhp2CHbh_hTLUw,3.5,94,chinese,Outer Richmond,$,94121
mzLa9Ye79zLiKxvExCngtw,3,96,chinese,Sunset/Parkside,$,94122
sBMuIHnFUmtBs86iV4ZNeQ,4,88,chinese,Sunset/Parkside,$,94122
7SRJWnPVRxwqke3d82qefw,4,96,chinese,Sunset/Parkside,$,94122
